ID,Action,Source,Destination,Protocol,Port
1,deny,10.0.0.0/8,INTERNAL,tcp,3306
2,deny,192.168.10.0/24,MAIL,tcp,80
3,deny,192.168.1.0/24,WEB,udp,161
4,permit,198.51.100.0/24,ANY,tcp,3306
5,deny,192.168.20.0/24,APP,tcp,3306
6,permit,192.168.20.0/24,APP,tcp,8080
7,permit,203.0.113.0/24,DNS,tcp,110
8,permit,10.0.0.0/8,ANY,tcp,23
9,deny,192.168.20.0/24,MAIL,tcp,3306
10,permit,203.0.113.0/24,DMZ,tcp,143
11,permit,172.16.0.0/16,DMZ,tcp,25
12,deny,192.168.1.0/24,WEB,tcp,21
13,permit,10.1.0.0/16,ANY,tcp,8080
14,permit,172.16.0.0/16,WEB,udp,53
15,deny,ANY,WEB,udp,53
16,deny,203.0.113.0/24,DMZ,tcp,110
17,deny,192.168.10.0/24,INTERNAL,tcp,443
18,deny,192.168.20.0/24,DATABASE,tcp,80
19,permit,192.168.20.0/24,DNS,tcp,80
20,deny,172.16.0.0/16,MAIL,udp,161
21,deny,ANY,DNS,tcp,443
22,permit,198.51.100.0/24,INTERNAL,tcp,443
23,deny,192.168.20.0/24,DMZ,tcp,21
24,permit,192.168.20.0/24,DATABASE,udp,53
25,permit,203.0.113.0/24,INTERNAL,tcp,443
26,deny,192.168.1.0/24,ANY,tcp,110
27,permit,10.1.0.0/16,DMZ,tcp,3306
28,deny,203.0.113.0/24,MAIL,tcp,25
29,deny,192.168.20.0/24,DMZ,tcp,22
30,permit,10.0.0.0/8,APP,tcp,8080
31,deny,198.51.100.0/24,APP,tcp,25
32,deny,192.168.20.0/24,WEB,tcp,80
33,deny,ANY,APP,tcp,21
34,deny,192.168.20.0/24,APP,udp,161
35,permit,172.16.0.0/16,ANY,tcp,110
36,deny,172.16.5.0/24,ANY,tcp,80
37,deny,192.168.10.0/24,ANY,tcp,443
38,permit,192.168.10.0/24,DMZ,tcp,445
39,deny,172.16.5.0/24,MAIL,tcp,22
40,permit,10.1.0.0/16,DATABASE,tcp,21
41,deny,172.16.5.0/24,INTERNAL,udp,123
42,deny,198.51.100.0/24,INTERNAL,tcp,443
43,permit,192.168.20.0/24,WEB,tcp,80
44,permit,192.168.20.0/24,ANY,tcp,443
45,permit,172.16.5.0/24,DATABASE,tcp,110
46,deny,192.168.10.0/24,MAIL,tcp,3389
47,permit,192.168.10.0/24,INTERNAL,tcp,445
48,permit,10.1.0.0/16,INTERNAL,tcp,25
49,permit,203.0.113.0/24,DMZ,udp,161
50,permit,10.0.0.0/8,MAIL,tcp,445
51,permit,ANY,DNS,udp,53
52,permit,172.16.0.0/16,DATABASE,tcp,23
53,permit,172.16.5.0/24,DNS,tcp,3306
54,permit,192.168.10.0/24,DATABASE,udp,161
55,deny,192.168.10.0/24,DATABASE,tcp,23
56,permit,ANY,DMZ,udp,161
57,deny,198.51.100.0/24,ANY,tcp,443
58,permit,198.51.100.0/24,WEB,tcp,8080
59,permit,198.51.100.0/24,ANY,udp,161
60,deny,192.168.20.0/24,WEB,tcp,3389
61,deny,192.168.1.0/24,WEB,tcp,3306
62,permit,10.0.0.0/8,ANY,tcp,8080
63,deny,10.1.0.0/16,ANY,udp,161
64,permit,192.168.1.0/24,DMZ,udp,53
65,deny,172.16.5.0/24,DATABASE,udp,161
66,permit,172.16.5.0/24,ANY,tcp,110
67,deny,172.16.5.0/24,MAIL,tcp,445
68,permit,172.16.5.0/24,ANY,tcp,80
69,permit,10.1.0.0/16,WEB,tcp,25
70,deny,172.16.5.0/24,DNS,tcp,143
71,permit,ANY,MAIL,tcp,110
72,permit,172.16.5.0/24,INTERNAL,tcp,22
73,deny,192.168.10.0/24,DNS,tcp,21
74,permit,192.168.10.0/24,DNS,tcp,8080
75,permit,172.16.0.0/16,APP,tcp,21
76,deny,172.16.5.0/24,APP,tcp,22
77,deny,172.16.0.0/16,WEB,tcp,3389
78,deny,192.168.1.0/24,DMZ,tcp,23
79,deny,172.16.0.0/16,MAIL,tcp,443
80,deny,172.16.0.0/16,DATABASE,tcp,445
81,permit,203.0.113.0/24,MAIL,tcp,8080
82,permit,198.51.100.0/24,WEB,tcp,22
83,deny,172.16.0.0/16,DNS,udp,53
84,deny,198.51.100.0/24,ANY,tcp,143
85,deny,203.0.113.0/24,DMZ,tcp,23
86,deny,198.51.100.0/24,DATABASE,tcp,8080
87,permit,203.0.113.0/24,MAIL,udp,53
88,permit,ANY,DMZ,tcp,21
89,deny,ANY,DATABASE,tcp,110
90,deny,10.1.0.0/16,ANY,tcp,21
91,deny,10.1.0.0/16,DATABASE,tcp,80
92,deny,192.168.20.0/24,ANY,tcp,23
93,deny,192.168.20.0/24,DMZ,tcp,25
94,permit,192.168.10.0/24,INTERNAL,tcp,110
95,permit,192.168.10.0/24,INTERNAL,tcp,3306
96,deny,172.16.5.0/24,APP,tcp,25
97,permit,192.168.1.0/24,ANY,udp,161
98,deny,192.168.20.0/24,MAIL,tcp,443
99,permit,192.168.1.0/24,MAIL,tcp,3306
100,deny,198.51.100.0/24,MAIL,udp,123
101,deny,192.168.20.0/24,DATABASE,tcp,3389
102,deny,192.168.20.0/24,DNS,tcp,143
103,deny,172.16.0.0/16,INTERNAL,tcp,21
104,deny,172.16.0.0/16,MAIL,tcp,21
105,permit,192.168.1.0/24,ANY,udp,53
106,permit,172.16.5.0/24,DMZ,tcp,110
107,deny,198.51.100.0/24,WEB,tcp,110
108,deny,192.168.20.0/24,WEB,tcp,143
109,permit,172.16.0.0/16,DATABASE,tcp,25
110,deny,192.168.20.0/24,DNS,tcp,110
111,permit,192.168.20.0/24,DATABASE,tcp,8080
112,permit,ANY,WEB,tcp,3306
113,deny,172.16.0.0/16,WEB,udp,161
114,deny,10.0.0.0/8,DATABASE,udp,123
115,deny,ANY,INTERNAL,tcp,445
116,permit,192.168.10.0/24,WEB,tcp,23
117,deny,198.51.100.0/24,APP,tcp,80
118,deny,10.1.0.0/16,MAIL,tcp,3306
119,deny,198.51.100.0/24,DATABASE,tcp,445
120,permit,ANY,ANY,tcp,3306
121,deny,172.16.5.0/24,MAIL,tcp,23
122,permit,192.168.20.0/24,MAIL,tcp,3389
123,deny,192.168.20.0/24,DNS,tcp,25
124,deny,203.0.113.0/24,MAIL,tcp,445
125,permit,198.51.100.0/24,APP,tcp,23
126,deny,172.16.0.0/16,DMZ,tcp,443
127,permit,203.0.113.0/24,DNS,tcp,22
128,deny,192.168.20.0/24,ANY,udp,161
129,permit,192.168.1.0/24,INTERNAL,tcp,25
130,deny,10.0.0.0/8,APP,tcp,80
131,permit,10.0.0.0/8,APP,tcp,443
132,permit,10.1.0.0/16,MAIL,tcp,443
133,deny,203.0.113.0/24,DNS,udp,53
134,permit,ANY,WEB,udp,123
135,permit,ANY,ANY,tcp,25
136,deny,ANY,MAIL,tcp,3389
137,permit,192.168.1.0/24,ANY,tcp,25
138,permit,172.16.5.0/24,INTERNAL,tcp,143
139,deny,192.168.10.0/24,APP,tcp,23
140,deny,10.0.0.0/8,APP,tcp,3306
141,deny,198.51.100.0/24,WEB,tcp,445
142,permit,172.16.0.0/16,DATABASE,tcp,80
143,permit,198.51.100.0/24,ANY,tcp,23
144,deny,172.16.5.0/24,APP,tcp,3306
145,permit,192.168.10.0/24,DATABASE,tcp,445
146,deny,ANY,DNS,tcp,110
147,permit,198.51.100.0/24,DATABASE,tcp,21
148,deny,172.16.0.0/16,DNS,tcp,21
149,deny,192.168.10.0/24,WEB,tcp,22
150,permit,172.16.0.0/16,DMZ,udp,53
151,permit,192.168.10.0/24,INTERNAL,tcp,22
152,permit,192.168.1.0/24,APP,tcp,443
153,permit,10.1.0.0/16,DMZ,tcp,25
154,deny,ANY,INTERNAL,tcp,22
155,deny,172.16.5.0/24,DATABASE,udp,123
156,permit,192.168.1.0/24,WEB,tcp,22
157,permit,172.16.0.0/16,MAIL,tcp,443
158,deny,198.51.100.0/24,MAIL,tcp,3306
159,deny,198.51.100.0/24,DNS,tcp,8080
160,deny,10.1.0.0/16,DMZ,udp,161
161,deny,192.168.1.0/24,DMZ,tcp,21
162,permit,192.168.1.0/24,APP,udp,123
163,permit,10.1.0.0/16,DMZ,tcp,8080
164,permit,172.16.5.0/24,DATABASE,tcp,21
165,deny,192.168.10.0/24,APP,tcp,8080
166,deny,192.168.20.0/24,DATABASE,udp,53
167,deny,192.168.1.0/24,WEB,tcp,23
168,deny,192.168.10.0/24,ANY,tcp,3306
169,deny,ANY,DNS,udp,161
170,deny,10.0.0.0/8,DMZ,tcp,8080
171,permit,198.51.100.0/24,INTERNAL,tcp,3389
172,permit,203.0.113.0/24,ANY,udp,53
173,permit,172.16.0.0/16,DNS,tcp,22
174,permit,172.16.5.0/24,INTERNAL,udp,53
175,deny,203.0.113.0/24,MAIL,tcp,80
176,deny,192.168.10.0/24,DNS,udp,53
177,deny,172.16.0.0/16,APP,tcp,110
178,permit,172.16.0.0/16,WEB,tcp,25
179,permit,172.16.5.0/24,ANY,tcp,25
180,deny,192.168.20.0/24,WEB,udp,53
181,permit,192.168.10.0/24,DMZ,tcp,22
182,deny,198.51.100.0/24,DNS,udp,123
183,deny,10.1.0.0/16,DNS,tcp,8080
184,permit,192.168.1.0/24,INTERNAL,tcp,21
185,permit,172.16.0.0/16,WEB,tcp,80
186,permit,ANY,DNS,udp,161
187,permit,ANY,DMZ,tcp,445
188,permit,10.1.0.0/16,DATABASE,tcp,443
189,deny,10.0.0.0/8,ANY,tcp,110
190,permit,192.168.1.0/24,ANY,tcp,8080
191,permit,172.16.5.0/24,WEB,tcp,23
192,permit,172.16.0.0/16,DNS,tcp,23
193,permit,ANY,WEB,tcp,22
194,permit,10.1.0.0/16,DATABASE,tcp,8080
195,deny,192.168.10.0/24,WEB,udp,161
196,permit,172.16.0.0/16,APP,tcp,443
197,permit,203.0.113.0/24,WEB,tcp,443
198,permit,192.168.10.0/24,WEB,tcp,443
199,permit,10.1.0.0/16,DATABASE,tcp,80
200,deny,10.0.0.0/8,DMZ,tcp,143
201,deny,192.168.10.0/24,ANY,udp,161
202,deny,10.0.0.0/8,ANY,tcp,3389
